_id,alta,cantidad,cantidadRestock,ean,familia,iva,margen,nombre,precioCompra,precioVenta,proveedor
62c4df316f6dede80a8a70b3,true,0,20,8410199020765,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,CHETOS PANDILLA,0.86,1.2,
62c4df316f6dede80a8a70b4,true,0,20,8410199019769,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,LAYS CAMPESINAS 125GR.,1.02,1.35,
62c4df316f6dede80a8a70b5,true,0,20,8413164012888,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,CORTEZAS DE TRIGO GREFUSA,0.7,1,201624
62c4df316f6dede80a8a70b6,true,0,20,8414458000437,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,PAPAS GOURMET ESCRIBA 180 GR,0.66,1,97201
62c4df316f6dede80a8a70b7,true,0,20,8412920002002,ALIMENTACION,10,20,PATATAS DUSO 145 GR.,0.72,1.1,101377
62c4df316f6dede80a8a70b8,true,0,20,8410199020789,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,CONOS 3D LAYS,0.91,1.2,
62c4df316f6dede80a8a70b9,true,0,20,8410199012319,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,DORITOS BITS,0.68,1,
62c4df316f6dede80a8a70ba,true,0,20,8410199022431,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,BOCABITS,0.95,1.25,
62c4df316f6dede80a8a70bc,true,0,20,8413164002483,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,PAPADELTA GREFUSA,0.7,1.1,106649
62c4df316f6dede80a8a70bd,true,0,20,8410199022646,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,DORITOS CHILI,1.14,1.5,
62c4df316f6dede80a8a70be,true,0,20,8410199004734,GENERICA,10,20,PAPAS LAYS GOURMET,1.14,1.5,
62c4df316f6dede80a8a70bf,true,0,20,8410199019721,SNACKS ( PEPSICO. GREFUSA DULCESOL ),10,20,RUFLES JAMON 125GR,1.02,1.35,
62c4df316f6dede80a8a70c0,true,0,20,8410564028044,GENERICA,10,20,ALTRAMUCES,1.25,1.65,
62c4df316f6dede80a8a70c1,true,0,20,8410090710543,ALIMENTACION,10,20,CALVO MEJILLONES,1.02,1.16,140657
62c4df316f6dede80a8a70c3,true,0,20,8411945002158,ALIMENTACION,10,20,BONITO DEL NORTE BOYA,1.08,1.54,103580
62c4df316f6dede80a8a70c4,true,0,20,8429583004762,GENERICA,10,20,SARDINAS RIVEIRA,0.56,0.74,
62c4df316f6dede80a8a70c5,true,0,20,8411555070028,GENERICA,10,20,FILETES DE CABALLA,1.17,1.55,
62c4df316f6dede80a8a70c6,true,0,20,8429583004885,GENERICA,10,20,MEJILLONES EN ESCABECHE RIVEIRA,0.87,1.15,
62c4df316f6dede80a8a70c8,true,0,20,8425930115006,ALIMENTACION,10,20,BAYMAR BERBERECHOS,1.75,2.85,102604
62c4df316f6dede80a8a70ca,true,0,20,8437003470721,GENERICA,4,20,HUEVOS L DOCENA,1.85,1.8,
