NOMBRE,FAMILIA,PRECIO_COMPRA,PRECIO_COMPRA_IVA,PRECIO_VENTA,IVA,MARGEN_AJUSTADO,MARGEN,EAN,ALTA,CANTIDAD,CANTIDAD_RESTOCK,PROVEEDOR,,P_COMPRA,PRECIO_COMPRA_CALC,Redo
SABROSA LIMON 1.25,BEBIDAS,0.27,0.3267,0.5,21,20,53.04560759,8437007210378,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.27,0.27,0.27
FANTA LIMON 2 L,BEBIDAS,0.88,1.0648,1.36,21,20,27.72351615,5449000006011,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.88,0.88,0.88
COCACOLA ZERO 2 L,BEBIDAS,1.1,1.331,1.65,21,20,23.96694215,5449000131843,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,1.1,1.1,1.1
COCACOLA ZERO ZERO 2 L,BEBIDAS,1.1,1.331,1.65,21,20,23.96694215,5449000177551,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,1.1,1.1,1.1
MONSTER ENERGY ULTRA,BEBIDAS,0.83,1.0043,1.42,21,20,41.39201434,5060337501316,,0,20,PRINCESALISIMO S.L.,,0.83,0.83,0.83
COCACOLA 1.25,OTROS,1.11,1.3431,1.35,21,20,0.5137368774,5449000028921,,0,20,,,0,0.9297520661,0.93
COCACOLA ZERO 1.25,OTROS,1.11,1.3431,1.35,21,20,0.5137368774,5449000133724,,0,20,,,0,0.9297520661,0.93
LA FLOR DEL JUCAR GASEOSA 0.5 L,BEBIDAS,0.16,0.1936,0.25,21,20,29.1322314,8437007210064,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.16,0.16,0.16
ESTRELLA GALICIA LATA 33CL,BEBIDAS,0.37,0.4477,0.59,21,20,31.78467724,8412598000010,,0,20,DISTRIB. Y BEB. GOMEZ NAVARRO S.L.,,0.37,0.37,0.37
PACK ESTRELLA GALICIA CERVEZA S/GLUTEN,BEBIDAS,2.08,2.5168,3.27,21,20,29.92689129,8412598004155,,0,20,PRINCESALISIMO S.L.,,2.08,2.08,2.08
VICHY CATALAN AGUA C/GAS 1L,BEBIDAS,0.89,0.979,1.19,10,20,21.5526047,8410749001107,,0,20,PRINCESALISIMO S.L.,,0.89,0.89,0.89
VICHI CATALAN PACK 6 POR 2 50 ML,BEBIDAS,3.45,3.795,4.75,10,20,25.16469038,8410749001114,,0,20,PRINCESALISIMO S.L.,,3.45,3.45,3.45
BITTER KAS 6 X 200 ML,BEBIDAS,3.1,3.751,4.3,21,20,14.63609704,8410408067369,,0,20,PRINCESALISIMO S.L.,,3.1,3.1,3.1
AGUA BEZOYA 33 CL,BEBIDAS,0.32,0.3328,0.39,4,20,17.1875,8410128160647,,0,20,,,0,0.3125,0.31
AGUA OROTONA 0.5 L,BEBIDAS,0.11,0.1144,0.2,4,20,74.82517483,8414317001124,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.11,0.11,0.11
AGUA LANJARON 0.5,BEBIDAS,0.22,0.2288,0.42,4,20,83.56643357,8410728700106,,0,20,PRINCESALISIMO S.L.,,0.22,0.22,0.22
EMBRAU BOTE 50 CL,BEBIDAS,0.27,0.3267,0.56,21,20,71.4110805,7611612502030,,0,20,PRINCESALISIMO S.L.,,0.27,0.27,0.27
BOTE CERVEZA MAHOU 33 CL SIN,BEBIDAS,0.32,0.3872,0.57,21,20,47.2107438,8411327722018,,0,20,PRINCESALISIMO S.L.,,0.32,0.32,0.32
BUCKLER 0.0 LATA 33 CL,BEBIDAS,0.32,0.3872,0.48,21,20,23.96694215,8413041319000,,0,20,DISTRIB. Y BEB. GOMEZ NAVARRO S.L.,,0.32,0.32,0.32
HEINEKEN 33CL SIN,BEBIDAS,0.41,0.4961,0.65,21,20,31.02197138,8712000310011,,0,20,PRINCESALISIMO S.L.,,0.41,0.41,0.41
EMBRAU 33 CL SIN,BEBIDAS,0.19,0.2299,0.29,21,20,26.14180078,7611612501729,,0,20,PRINCESALISIMO S.L.,,0.19,0.19,0.19
SAN MIGUEL ESPECIAL 33 CL,BEBIDAS,0.31,0.3751,0.42,21,20,11.9701413,8410655000010,,0,20,PRINCESALISIMO S.L.,,0.31,0.31,0.31
SAN MIGUEL SIN 33 CL,OTROS,0.4,0.484,0.49,21,20,1.239669421,8410655006142,,0,20,,,0,0.3374655647,0.34
MAHOU TOSTADA SIN 33 CL,OTROS,0.54,0.6534,0.65,21,20,-0.5203550658,8411327002745,,0,20,,,0,0.4476584022,0.45
BUDWEISER 33 CL,OTROS,0.62,0.7502,0.75,21,20,-0.02665955745,5014379003161,,0,20,,,0,0.5165289256,0.52
SANDY SABOR LIMON 33CL CRUZCAMPO,BEBIDAS,0.49,0.5929,0.59,21,20,-0.4891212683,8411090419054,,0,20,PRINCESALISIMO S.L.,,0,0.4063360882,0.41
AMSTEL RADLER 33 CL,BEBIDAS,0.32,0.3872,0.59,21,20,52.37603306,8410569615614,,0,20,PRINCESALISIMO S.L.,,0.32,0.32,0.32
HEINEKEN ORIGINAL 33 CL,BEBIDAS,0.44,0.5324,0.65,21,20,22.08865515,87120158,,0,20,PRINCESALISIMO S.L.,,0.44,0.44,0.44
CORONITA BOTELLIN 35.5 CL,BEBIDAS,0.75,0.9075,1.25,21,20,37.74104683,7501064191398,,0,20,PRINCESALISIMO S.L.,,0.75,0.75,0.75
DESPERADOS BOTELLIN 33CL,BEBIDAS,0.72,0.8712,1.32,21,20,51.51515152,3155930006015,,0,20,PRINCESALISIMO S.L.,,0.72,0.72,0.72
EMBRAU 25 CL PACK DE 6,BEBIDAS,1.05,1.2705,1.59,21,20,25.14757969,7611612502009,,0,20,PRINCESALISIMO S.L.,,1.05,1.05,1.05
ALHAMBRA CERVEZA RESERVA BOTELLIN 33CL,BEBIDAS,4.35,5.2635,6.5,21,20,23.49197302,8413681021820,,0,20,PRINCESALISIMO S.L.,,4.35,4.35,4.35
AMSTEL BOTELLIN 25 CL PACK 6,BEBIDAS,1.5,1.815,2.4,21,20,32.23140496,8410569005637,,0,20,PRINCESALISIMO S.L.,,1.5,1.5,1.5
TURIA BOTELLIN 6 BOTELLAS,BEBIDAS,2.28,2.7588,3.36,21,20,21.79208351,8413194093840,,0,20,PRINCESALISIMO S.L.,,2.28,2.28,2.28
ANNA DE CODORNIU CAVA BRUT NATURE,OTROS,7,8.47,8.49,21,20,0.2361275089,8410013006920,,0,20,,,0,5.847107438,5.85
CAVA ENTERIZO BRUT NATURE,BEBIDAS,2.5,3.025,4.45,21,20,47.10743802,8420202000813,,0,20,PRINCESALISIMO S.L.,,2.5,2.5,2.5
SIDRA EL GAITERO,OTROS,1.64,1.9844,1.99,21,20,0.2822011691,8411079391012,,0,20,,,0,1.370523416,1.37
EL MIRACLE TEMPRANILLO,BEBIDAS,2.29,2.7709,3.5,21,20,26.31275037,8410310603990,,0,20,PRINCESALISIMO S.L.,,2.29,2.29,2.29
ENTERIZO CRIANZA 2018,BEBIDAS,1.5,1.815,2.49,21,20,37.19008264,8420202020378,,0,20,PRINCESALISIMO S.L.,,1.5,1.5,1.5
PAULUS RIOJA,BEBIDAS,1.1,1.331,2.59,21,20,94.59053343,9004380126704,,0,20,PRINCESALISIMO S.L.,,1.1,1.1,1.1
HOYA DE CADENAS RESERVA TEMPRANILLO,BEBIDAS,2.35,2.8435,3.89,21,20,36.80323545,8410310085628,,0,20,PRINCESALISIMO S.L.,,2.35,2.35,2.35
RAMON BILBAO CRIANZA 2017 RIOJA,BEBIDAS,5.6,6.776,7.9,21,20,16.5879575,8413423111086,,0,20,PRINCESALISIMO S.L.,,5.6,5.6,5.6
FAUSTINO RIVERO RESERVA DEL 2015,BEBIDAS,1.5,1.815,2.89,21,20,59.22865014,8412176101061,,0,20,PRINCESALISIMO S.L.,,1.5,1.5,1.5
VALTIER RESERVA 2015 UTIEL REQUENA,BEBIDAS,1.5,1.815,2.8,21,20,54.26997245,8412176100200,,0,20,PRINCESALISIMO S.L.,,1.5,1.5,1.5
MARINA ALTA VINO BLANCO 75 CL.,BEBIDAS,3.3,3.993,4.85,21,20,21.46255948,8421216046118,,0,20,PRINCESALISIMO S.L.,,3.3,3.3,3.3
FAUSTINO RIVERO VINO BLANCO VERDEJO 75 C,BEBIDAS,1.35,1.6335,2.4,21,20,46.92378329,8412176000531,,0,20,PRINCESALISIMO S.L.,,1.35,1.35,1.35
CASTILLO DE LIRIIA BLANCO,BEBIDAS,1.78,2.1538,2.6,21,20,20.7168725,8410310025037,,0,20,PRINCESALISIMO S.L.,,1.78,1.78,1.78
ENTERIZO MACABEO BLANCO,BEBIDAS,1.2,1.452,1.95,21,20,34.29752066,8420202020170,,0,20,PRINCESALISIMO S.L.,,1.2,1.2,1.2
BARBADILLO BLANCO,BEBIDAS,2.65,3.2065,3.69,21,20,15.0787463,8410061210348,,0,20,PRINCESALISIMO S.L.,,2.65,2.65,2.65
ENTERIZO RESERVA COVIðAS,BEBIDAS,2.1,2.541,3.2,21,20,25.93467139,8420202040376,,0,20,PRINCESALISIMO S.L.,,2.1,2.1,2.1
ENTERIZO VINO TINTO BOBAL TEMPRANILLO,BEBIDAS,1.2,1.452,1.95,21,20,34.29752066,8420202020477,,0,20,PRINCESALISIMO S.L.,,1.2,1.2,1.2
